id,title,popularity,vote_average,vote_count,release_date,source,genre_ids,original_language,adult,genre_count,is_english,is_adult,release_year,popularity_log,is_popular,is_recent
1157008,Dime lo que quieres (de verdad),72.8902,7.629,31,2023-07-27,popular,"[10749, 18, 35]",es,False,3,0,0,2023,4.302580207523108,1,
1571594,The Photographer,63.8864,7.0,2,2025-10-30,popular,"[27, 53]",es,False,2,0,0,2025,4.172638048592008,1,
980431,Avatar Aang: The Last Airbender,73.3391,0.0,0,2026-10-09,popular,"[28, 12, 16, 14]",en,False,4,1,0,2026,4.308637058258291,1,
1473332,No One Will Hear Your Scream,72.9617,4.2,6,2025-09-05,popular,"[27, 53]",es,False,2,0,0,2025,4.303547391652276,1,
1368166,The Housemaid,66.7761,7.246,2344,2025-12-18,popular,"[9648, 53]",en,False,2,1,0,2025,4.216209625426389,1,
1515729,Blast,62.621,7.0,3,2026-05-28,popular,"[28, 18, 10751]",ta,False,3,0,0,2026,4.152943604525037,1,
1290821,Shelter,68.5634,7.634,1138,2026-01-28,popular,"[28, 80, 53]",en,False,3,1,0,2026,4.242238566957459,1,
1275779,Disclosure Day,59.9409,7.9,4,2026-06-10,popular,"[9648, 878, 53]",en,False,3,1,0,2026,4.109904542073385,1,
441168,From Straight A's to XXX,58.8766,5.8,162,2017-02-11,popular,"[18, 10770]",en,False,2,1,0,2017,4.092285777712249,1,
1522126,1000 Men and Me: The Bonnie Blue Story,71.7834,5.694,18,2025-07-29,popular,"[99, 10770]",en,False,2,1,0,2025,4.287487907223655,1,
1325734,The Drama,65.603,6.953,945,2026-03-26,popular,"[10749, 35, 18]",en,False,3,1,0,2026,4.198749621576891,1,
840464,Greenland 2: Migration,61.5852,6.433,1168,2026-01-07,popular,"[12, 53, 878]",en,False,3,1,0,2026,4.136528828428792,1,
1252051,Disforia,53.3022,4.833,6,2025-09-20,popular,"[27, 53]",es,False,2,0,0,2025,3.994564741772928,1,
1316427,7 Dogs,52.3029,5.5,4,2026-05-27,popular,"[28, 35]",ar,False,2,0,0,2026,3.9759907386973112,1,
1242898,Predator: Badlands,60.6928,7.774,3025,2025-11-05,popular,"[28, 878, 12]",en,False,3,1,0,2025,4.122167230423012,1,
1002398,Virgin,55.3839,6.591,22,2024-10-29,popular,"[18, 10749]",tl,False,2,0,0,2024,4.0321836567593605,1,
755898,War of the Worlds,61.6719,4.102,1003,2025-07-29,popular,"[878, 53]",en,False,2,1,0,2025,4.137913181313318,1,
1084244,Toy Story 5,58.5337,0.0,0,2026-06-17,popular,"[16, 10751, 35, 12]",en,False,4,1,0,2026,4.08654253876988,1,
1314481,The Devil Wears Prada 2,51.701,6.579,764,2026-04-29,popular,"[35, 18]",en,False,2,1,0,2026,3.964634430699356,1,
1497843,风尘女郎,44.9887,0.0,0,1975-01-01,popular,[],zh,False,0,0,0,1975,3.828395714137745,1,
1010581,My Fault,54.3364,7.735,4079,2023-06-08,popular,"[18, 10749, 53]",es,False,3,0,0,2023,4.013430919839456,1,
1368881,Ladies First,48.5016,6.055,280,2026-05-21,popular,"[35, 14]",en,False,2,1,0,2026,3.902004992284584,1,
24428,The Avengers,53.7337,8.038,38210,2012-04-25,popular,"[878, 28, 12]",en,False,3,1,0,2012,4.00247960747516,1,
1426822,Mortal Game,50.5941,4.917,12,2025-02-03,popular,"[27, 28]",en,False,2,1,0,2025,3.943407324864805,1,
64641,Monika,50.3487,4.7,20,1974-02-28,popular,"[10749, 18]",it,False,2,0,0,1974,3.938639619598405,1,
4247,Scary Movie,65.0665,6.403,7799,2000-07-07,popular,[35],en,False,1,1,0,2000,4.190661810520257,1,
1663082,The Last Supper,53.064,6.5,2,2025-10-23,popular,[27],en,False,1,1,0,2025,3.990168529971934,1,
48650,Room in Rome,53.5622,6.4,828,2010-05-07,popular,"[18, 10749]",es,False,2,0,0,2010,3.999341335302919,1,
1330021,Remarkably Bright Creatures,49.0425,8.542,554,2026-05-07,popular,"[18, 9648]",en,False,2,1,0,2026,3.912872644382724,1,
1630423,My Dearest Assassin,50.8711,8.6,230,2026-05-06,popular,"[28, 18, 10749]",th,False,3,0,0,2026,3.9487617950017584,1,
1375646,Colony,49.8704,6.763,40,2026-05-21,popular,"[28, 53, 27]",ko,False,3,0,0,2026,3.9292812219844153,1,
1159559,Scream 7,50.4666,6.159,987,2026-02-25,popular,"[27, 9648, 80]",en,False,3,1,0,2026,3.9409330535849394,1,
1669051,Kesong Puti,50.6524,5.5,2,2026-04-24,popular,[18],tl,False,1,0,0,2026,3.944536661088238,1,
1198994,Send Help,49.9666,7.0,1702,2026-01-22,popular,"[27, 53, 35]",en,False,3,1,0,2026,3.9311705162215778,1,
848116,Rocky Aur Rani Kii Prem Kahaani,39.7329,6.142,88,2023-07-28,popular,"[35, 18, 10751, 10749]",hi,False,4,0,0,2023,3.707036119714926,1,
299536,Avengers: Infinity War,47.4421,8.237,32054,2018-04-25,popular,"[12, 28, 878]",en,False,3,1,0,2018,3.880369270346351,1,
1530510,Mexico 86,49.4424,6.6,28,2026-05-21,popular,"[35, 36, 18]",es,False,3,0,0,2026,3.92083209124946,1,
1632181,Accidental Partners,46.6054,9.074,230,2026-03-12,popular,"[35, 10749]",es,False,2,0,0,2026,3.8629462001810855,1,
1301421,The Sheep Detectives,45.0891,7.6,151,2026-04-30,now_playing,"[35, 10751, 9648]",en,False,3,1,0,2026,3.830576479529395,0,
1431071,System,45.165,7.5,2,2026-05-22,now_playing,[53],hi,False,1,0,0,2026,3.832221935224591,0,
1110034,Kraken,53.8795,6.197,94,2026-02-06,now_playing,"[27, 28, 53]",no,False,3,0,0,2026,4.005139872588955,0,
1280738,The Furious,48.613,0.0,0,2026-06-10,now_playing,"[28, 80, 53]",en,False,3,1,0,2026,3.904252896163716,0,
1266127,Ready or Not: Here I Come,45.9096,7.7,974,2026-03-19,now_playing,"[53, 27, 35]",en,False,3,1,0,2026,3.84822234533748,0,
1628367,Kartavya,39.7811,6.5,18,2026-05-15,now_playing,"[80, 18, 53]",hi,False,3,0,0,2026,3.708218738789384,0,
1694978,Chum,41.618,3.0,3,2026-05-27,now_playing,"[27, 53]",en,False,2,1,0,2026,3.752276699243728,0,
1292695,They Will Kill You,41.4417,7.029,675,2026-03-25,now_playing,"[28, 35, 27]",en,False,3,1,0,2026,3.748131369493964,0,
847742,Drishyam 3,39.5872,7.0,5,2026-05-21,now_playing,"[80, 18, 53]",ml,False,3,0,0,2026,3.703452745963397,0,
1599189,剑来院线剧场版 十三之争,54.3779,0.0,0,2026-05-01,now_playing,"[16, 28, 12]",zh,False,3,0,0,2026,4.014180597197189,0,
803796,KPop Demon Hunters,39.053,8.025,2852,2025-06-20,now_playing,"[14, 10402, 35, 16]",en,False,4,1,0,2025,3.690203577076068,0,
1274706,The Marked Woman,65.2469,4.5,19,2026-06-05,now_playing,"[53, 80]",es,False,2,0,0,2026,4.193388671318701,0,
1247165,Raja Shivaji,36.4825,9.0,1,2026-05-01,now_playing,"[28, 36, 18]",mr,False,3,0,0,2026,3.623874157386921,0,
1242265,Fuze,36.3835,6.5,103,2026-03-23,now_playing,"[28, 80, 18, 53]",en,False,4,1,0,2026,3.6212294306029262,0,
1383731,Protector,35.45,7.96,162,2026-02-20,now_playing,"[28, 53]",en,False,2,1,0,2026,3.5959414584546674,0,
77,Memento,32.0342,8.176,16265,2000-10-11,now_playing,"[9648, 53]",en,False,2,1,0,2000,3.4975433884487974,0,
1288341,Seven Snipers,68.6252,6.1,14,2026-04-30,now_playing,"[28, 53]",en,False,2,1,0,2026,4.2431265707747405,0,
1662414,Propeller One-Way Night Coach,27.2683,6.583,24,2026-05-15,now_playing,"[12, 18, 10751]",en,False,3,1,0,2026,3.341741035479241,0,
1242332,Normal,25.4243,6.493,136,2026-04-16,now_playing,"[28, 80, 53]",en,False,3,1,0,2026,3.2742840413392083,0,
372058,Your Name.,31.714,8.481,12591,2016-08-26,now_playing,"[16, 10749, 18]",ja,False,3,0,0,2016,3.487803120836334,0,
425274,Now You See Me: Now You Don't,30.3809,6.502,1542,2025-11-12,now_playing,"[80, 53]",en,False,2,1,0,2025,3.44619942758194,0,
808,Shrek,30.0917,7.764,18787,2001-05-18,now_playing,"[16, 35, 14, 12, 10751]",en,False,5,1,0,2001,3.43694090253717,0,
1197306,A Working Man,28.5494,6.689,1931,2025-03-26,now_playing,"[28, 80, 53]",en,False,3,1,0,2025,3.386063439077439,0,
1368314,Passenger,26.1204,6.198,63,2026-05-20,now_playing,"[27, 53]",en,False,2,1,0,2026,3.3002862122259624,0,
1380316,Is God Is,28.4286,5.65,30,2026-05-14,now_playing,"[18, 53]",en,False,2,1,0,2026,3.381966990607583,0,
1340206,Tuner,23.7863,6.921,38,2026-05-21,now_playing,"[80, 53]",en,False,2,1,0,2026,3.210291081176309,0,
1497348,Alas Roban,23.2724,4.6,5,2026-01-15,now_playing,"[18, 27, 9648]",id,False,3,0,0,2026,3.1893399023649134,0,
1167307,David,25.4394,8.05,150,2025-12-14,now_playing,"[16, 18, 10751, 36]",en,False,4,1,0,2025,3.2748553218364367,0,
1556616,Summer House,23.1485,0.0,0,2026-06-06,now_playing,"[10749, 10751, 18, 9648]",tr,False,4,0,0,2026,3.1842222663683217,0,
